parroquia,nom_par
080154,CHINCA
091250,NARANJITO
050150,LATACUNGA
090150,GUAYAQUIL
200350,PUERTO AYORA
060151,CACHA
230250,LA CONCORDIA
050156,MULALÓ
170184,TUMBACO
091150,NARANJAL
210251,EL REVENTADOR
170177,POMASQUI
080357,SAN GREGORIO
092550,NARCISA DE JESÚS
092150,GENERAL VILLAMIL
130450,EL CARMEN
130350,CHONE
071252,JAMBELÍ
091153,SANTA ROSA DE FLANDES
100451,DR. MIGUEL EGAS CABEZAS
110553,SANTA RUFINA
180757,GUAMBALÓ
110350,CATAMAYO
040254,SAN VICENTE DE PUSIR
071358,SINSAO
200150,PUERTO BAQUERIZO MORENO
060156,LICTO
091952,LA VICTORIA
150454,SANTA ROSA
140160,ZUÑA
170150,QUITO
070953,LA PEAÑA
131952,SALANGO
050250,LA MANÁ
110750,GONZANAMÁ
132050,JAMA
170171,NONO
130251,MEMBRILLO
020250,CHILLANES
011351,AMALUZA
110150,LOJA
070650,EL GUABO
111153,LLUZHAPA
120155,LA UNIÓN
010159,OCTAVIO CORDERO PALACIOS
210254,PUERTO LIBRE
180150,AMBATO
170353,CUTUGLAHUA
140150,MACAS
170165,LLANO CHICO
140751,CHIGUAZA
120550,QUEVEDO
130551,SAN FRANCISCO DE NOVILLO
100250,ATUNTAQUI
130850,MANTA
240352,JOSÉ LUIS TAMAYO
070750,HUAQUILLAS
092251,CORONEL LORENZO DE GARAYCOA
131650,SUCRE
080159,MAJUA
240151,ATAHUALPA
040550,SAN GABRIEL
040255,SAN RAFAEL
070150,MACHALA
180855,SAN ANDRÉS
090156,POSORJA
070955,UZHCURRUMI
190752,TRIUNFO DORADO
170250,CAYAMBE
120651,RICAURTE
132250,SAN VICENTE
210150,NUEVA LOJA
190150,ZAMORA
180157,JUAN BENIGNO VELA
011550,CAMILO PONCE ENRÍQUEZ
010450,NABÓN
240153,CHANDUY
010150,CUENCA
080450,ROSA ZÁRATE
120950,PALENQUE
131350,SANTA ANA DE VUELTA LARGA
100350,COTACACHI
170550,SANGOLQUÍ
010650,PUCARÁ
240350,SALINAS
080250,VALDEZ
090157,PUNÁ
220350,LA JOYA DE LOS SACHAS
040159,EL CHICAL
110959,YAMANA
060350,VILLA LA UNIÓN
130354,CHIBUNGA
091450,PEDRO CARBO
220255,YASUNÍ
040251,GARCÍA MORENO
050159,SAN JUAN DE PASTOCALLE
240250,LA LIBERTAD
131950,PUERTO LÓPEZ
010750,SAN FERNANDO
190750,ZUMBI
020556,SAN VICENTE
020554,SAN PABLO
070954,PROGRESO
130650,JIPIJAPA
040250,BOLÍVAR
140650,SUCÚA
110450,CELICA
060351,CAÑI
230154,SAN JACINTO DEL BÚA
100450,OTAVALO
170251,ASCÁZUBI
140557,SAN FRANCISCO DE CHINIMBIMI
070255,CARCABÓN
170950,PUERTO QUITO
080256,MALDONADO
240154,MANGLARALTO
020155,SALINAS
040253,MONTE OLIVO
090750,ELOY ALFARO
180850,PÍLLARO
071150,PORTOVELO
230150,SANTO DOMINGO DE LOS COLORADOS
120851,ANTONIO SOTOMAYOR
150150,TENA
160150,PUYO
170350,MACHACHI
071256,VICTORIA
180755,EL ROSARIO
131550,TOSAGUA
091650,SAMBORONDÓN
111154,MANÚ
131053,GUALE
050754,PALO QUEMADO
150750,BAEZA
060152,CALPI
010350,GUALACEO
180161,PILAGÜÍN
100456,SAN JUAN DE ILUMÁN
050550,SAN MIGUEL
120850,VINCES
131250,ROCAFUERTE
060652,PALMIRA
150752,CUYUJA
010556,GUARAINAG
150450,EL CHACO
060150,RIOBAMBA
190854,LA CANELA
071450,LA VICTORIA
240152,COLONCHE
220250,NUEVO ROCAFUERTE
010162,RICAURTE
110153,EL CISNE
131850,OLMEDO
071050,PIÑAS
140164,RÍO BLANCO
080551,ALTO TAMBO
170450,TABACUNDO
120452,SAN JUAN
061050,CUMANDÁ
010559,SAN CRISTÓBAL
180857,SAN MIGUELITO
011051,SUSUDEL
170551,COTOGCHOA
060256,PISTISHI
150356,HATUN SUMAKU
092750,GENERAL ANTONIO ELIZALDE
090158,TENGUEL
010160,PACCHA
100355,PLAZA GUTIÉRREZ
110159,SANTIAGO
130950,MONTECRISTI
130654,LA UNIÓN
091950,EL SALITRE
100453,GONZÁLEZ SUÁREZ
092056,VIRGEN DE FÁTIMA
091051,CHOBO
150452,LINARES
050162,TOACASO
090950,EL TRIUNFO
140357,SANTA SUSANA DE CHIVIAZA
180950,TISALEO
080552,ANCÓN
030253,TURUPAMBA
190152,GUADALUPE
120152,CARACOL
140351,INDANZA
080455,LA UNIÓN
070952,CASACAY
100650,URCUQUÍ
170356,TAMBILLO
091053,MARISCAL SUCRE
130153,CRUCITA
080166,TACHINA
180250,BAÑOS
111051,CIANO
131750,PEDERNALES
030450,LA TRONCAL
060158,PUNÍN
150151,AHUANO
130651,AMÉRICA
091054,ROBERTO ASTUDILLO
060153,CUBIJÍES
190452,TUTUPALI
131355,SAN PABLO
190155,SABANILLA
140950,TAISHA
141052,SHIMPIS
170186,ZÁMBIZA
100156,SALINAS
130150,PORTOVIEJO
121150,VALENCIA
100651,CAHUASQUÍ
110455,PÓZUL
210553,ROSA FLORIDA
150350,ARCHIDONA
220454,SAN JOSÉ DE DAHUANO
180163,SAN BARTOLOMÉ DE PINLLO
111158,SELVA ALEGRE
131552,ÁNGEL PEDRO GILER
090650,DAULE
220357,TRES DE NOVIEMBRE
030363,DUCUR
210551,EL PLAYÓN DE SAN FRANCISCO
111152,EL TABLÓN
220355,LAGO SAN PEDRO
140455,16 DE AGOSTO
010157,MOLLETURO
170255,SANTA ROSA DE CUZUBAMBA
121350,QUINSALOMA
121050,SAN JACINTO DE BUENA FE
131450,BAHIA DE CARÁQUEZ
140652,HUAMBI
110250,CARIAMANGA
150754,SAN FRANCISCO DE BORJA
110853,SABIANGO
100353,IMANTAG
030153,GUAPÁN
100351,APUELA
110457,TENIENTE MAXIMILIANO RODRÍGUEZ LOAIZA
120750,VENTANAS
160154,DIEZ DE AGOSTO
110155,JIMBILLA
140158,SINAÍ
170169,NANEGALITO
170168,NANEGAL
170155,CALDERÓN
050350,EL CORAZÓN
170180,SAN ANTONIO
170253,OLMEDO
020150,GUARANDA
160252,SHELL
060154,FLORES
190352,NUEVO PARAÍSO
040150,TULCÁN
010951,CUCHIL
200351,BELLA VISTA
190259,SAN ANDRÉS
200152,ISLA SANTA MARÍA FLOREANA
140953,TUUTINENTSA
170170,NAYÓN
060161,SAN LUIS
110157,SAN LUCAS
091850,SANTA LUCÍA
170850,PEDRO VICENTE MALDONADO
160163,TARQUI
210652,SEVILLA
140353,SAN ANTONIO
210155,EL ENO
060651,CEBADAS
190450,28 DE MAYO
190350,GUAYZIMI
110957,SAN ANTONIO
120252,ISLA DE BEJUCAL
130151,ABDÓN CALDERÓN
210450,SHUSHUFINDI
210451,LIMONCOCHA
071052,LA BOCANA
100458,SAN RAFAEL
092850,ISIDRO AYORA
070950,PASAJE
170157,CUMBAYÁ
110151,CHANTACO
140655,SANTA MARIANITA DE JESÚS
230252,LA VILLEGAS
131951,MACHALILLA
150157,TÁLAG
070550,CHILLA
070152,EL RETIRO
131651,BELLAVISTA
131353,LA UNIÓN
010352,DANIEL CÓRDOVA TORAL
240150,SANTA ELENA
180152,ATAHUALPA
080259,SANTO DOMINGO DE ONZOLE
050650,SAQUISILÍ
120150,BABAHOYO
121250,MOCACHE
071254,SAN ANTONIO
050353,RAMÓN CAMPAÑA
060157,PUNGALÁ
030358,SAN ANTONIO
111156,SAN PABLO DE TENTA
170153,ATAHUALPA
100150,SAN MIGUEL DE IBARRA
121051,PATRICIA PILAR
132150,JARAMIJÓ
150451,GONZALO DÍAZ DE PINEDA
050651,CANCHAGUA
100655,TUMBABIRO
120153,FEBRES CORDERO
040252,LOS ANDES
190451,LA PAZ
220353,SAN CARLOS
080354,QUINGUE
040161,SANTA MARTHA DE CUBA
020156,SAN LORENZO
130356,RICAURTE
140350,GRAL. LEONIDAS PLAZA GUTIÉRREZ
091154,TAURA
120752,ZAPOTAL
050653,COCHAPAMBA
190250,ZUMBA
091050,MILAGRO
010158,NULTI
130656,MEMBRILLAL
010163,SAN JOAQUÍN
100358,VACAS GALINDO
131050,PAJÁN
120154,PIMOCHA
220252,CONONACO
060757,SAN JOSÉ DEL CHAZO
090852,EL ROSARIO
230157,SANTA MARÍA DEL TOACHI
180550,PATATE
090653,LAUREL
070450,BALSAS
220450,LORETO
131150,PICHINCHA
010167,SININCAY
130658,PUERTO CAYO
080150,ESMERALDAS
210453,SAN ROQUE
080165,TABIAZO
131457,SAN ISIDRO
080554,CARONDELET
090152,JUAN GÓMEZ RENDÓN
150352,COTUNDO
150153,CHONTAPUNTA
080163,SAN MATEO
160156,MONTALVO
120350,MONTALVO
071255,TORATA
180165,SANTA ROSA
210158,SANTA CECILIA
111450,PINDAL
071151,CURTINCAPA
080254,LA TOLA
020151,FACUNDO VELA
220150,EL COCA
140251,AMAZONAS
050450,PUJILÍ
110754,PURUNUMA
170352,ALOASÍ
060750,GUANO
111351,MANGAHURCO
180253,RÍO VERDE
060160,SAN JUAN
030750,SUSCAL
060751,GUANANDO
050251,GUASAGANDA
090656,LOS LOJAS
100653,PABLO ARENAS
180252,RÍO NEGRO
010356,REMIGIO CRESPO TORAL
050458,ZUMBAHUA
050161,TANICUCHI
092250,SIMÓN BOLÍVAR
111054,MERCADILLO
170151,ALANGASÍ
141250,SANTIAGO
240156,SAN JOSÉ DE ANCÓN
071250,SANTA ROSA
090450,BALZAR
040554,LA PAZ
071152,MORALES
110950,CATACOCHA
170156,CONOCOTO
071452,EL PARAÍSO
090250,ALFREDO BAQUERIZO MORENO (JUJÁN)
080168,VUELTA LARGA
111352,GARZAREAL
080358,SAN JOSÉ DE CHAMANGA
210455,SIETE DE JULIO
140952,MACUMA
120251,GUARE
210153,GENERAL FARFÁN
090550,COLIMES
010562,DUG DUG
020351,ASUNCIÓN
160152,CANELOS
130851,SAN LORENZO
030150,AZOGUES
170152,AMAGUAÑA
170256,SAN JOSÉ DE AYORA
070850,MARCABELÍ
111160,SUMAYPAMBA
010652,SAN RAFAEL DE SHARUG
131453,CHARAPOTÓ
060650,GUAMOTE
100550,PIMAMPIRO
150158,SAN JUAN DE MUYUNA
170166,LLOA
010170,VALLE
030155,LUIS CORDERO
210252,GONZALO PIZARRO
080650,ATACAMES
240351,ANCONCITO
150756,SUMACO
071051,CAPIRO
100457,SAN PABLO
140255,EL ROSARIO
060250,ALAUSÍ
150154,PANO
010550,PAUTE
230156,EL ESFUERZO
050456,PILALÓ
080556,CONCEPCIÓN
170453,TOCACHI
190251,CHITO
090350,BALAO
120753,CHACARITA
180650,QUERO
080654,TONSUPA
190650,EL PANGUI
111159,URDANETA
140250,GUALAQUIZA
010354,MARIANO MORENO
110652,JIMBURA
020355,TELIMBELA
070250,ARENILLAS
120450,PUEBLOVIEJO
060755,SAN GERARDO
140550,SANTIAGO DE MÉNDEZ
040452,JIJÓN Y CAAMAÑO
080550,SAN LORENZO
180155,HUACHI GRANDE
030350,CAÑAR
120650,CATARAMA
050553,MULALILLO
090850,VELASCO IBARRA
220253,SANTA MARÍA DE HUIRIRIMA
020450,ECHEANDÍA
020158,SANTA FE
010165,SAYAUSÍ
080751,CHONTADURO
140850,SAN JUAN BOSCO
150354,SAN PABLO DE USHPAYACU
040552,CHITÁN DE NAVARRETE
111451,CHAQUINAL
110161,VILCABAMBA
240155,SIMÓN BOLÍVAR
111356,CAZADEROS
220152,TARACOA
170163,GUAYLLABAMBA
110756,SACAPALCA
040154,MALDONADO
030650,DÉLEG
190156,TIMBARA
190653,TUNDAYME
160158,RÍO CORRIENTES
190951,BELLAVISTA
070350,PACCHA
180552,LOS ANDES
010358,ZHIDMAD
170172,PACTO
190550,YANTZAZA
140162,CUCHAENTZA
140954,PUMPUENTSA
071451,LA LIBERTAD
011253,SAN VICENTE
020353,LA MAGDALENA
100252,SAN FRANCISCO DE NATABUELA
010161,QUINGEO
092450,LOMAS DE SARGENTILLO
060950,PENIPE
060753,LA PROVIDENCIA
071351,ABAÑÍN
210752,AGUAS NEGRAS
111651,LA TINGUE
071053,MOROMORO
030157,RIVERA
130750,JUNÍN
180164,SAN FERNANDO
050551,ANTONIO JOSÉ HOLGUÍN
080558,SAN JAVIER DE CACHAVÍ
111052,EL ARENAL
110354,ZAMBI
090654,LIMONAL
050752,ISINLIVI
160451,CURARAY
140552,CHUPIANZA
030361,ZHUD
060353,JUAN DE VELASCO
080753,LAGARTO
100253,SAN JOSÉ DE CHALTURA
080252,ATAHUALPA
071350,ZARUMA
090551,SAN JACINTO
130451,WILFRIDO LOOR MOREIRA
080258,SAN FRANCISCO DE ONZOLE
230153,LUZ DE AMÉRICA
030151,COJITAMBO
190551,CHICAÑA
110650,AMALUZA
010851,ABDÓN CALDERÓN
090851,GUAYAS
180450,MOCHA
230152,PUERTO LIMÓN
080262,COLÓN ELOY DEL MARÍA
011150,CHORDELEG
150950,CARLOS JULIO AROSEMENA TOLA
010164,SANTA ANA
091152,SAN CARLOS
100357,SEIS DE JULIO DE CUELLAJE
190254,LA CHONTA
131152,SAN SEBASTIÁN
180652,YANAYACU MOCHAPATA
010554,EL CABO
090153,MORRO
170750,SAN MIGUEL DE LOS BANCOS
140252,BERMEJOS
180168,UNAMUNCHO
210650,EL DORADO DE CASCALES
110952,GUACHANAMÁ
160162,SIMÓN BOLÍVAR
071453,SAN ISIDRO
140450,PALORA
130653,JULCUY
111353,LIMONES
110352,GUAYQUICHUMA
230151,ALLURIQUÍN
160350,SANTA CLARA
120451,PUERTO PECHICHE
070352,CORDONCILLO
110252,EL LUCERO
210351,PALMA ROJA
220155,EL EDÉN
180254,ULBA
210350,PUERTO EL CARMEN DE PUTUMAYO
220154,EL DORADO
110163,QUINARA
070351,AYAPAMBA
020159,SIMIÁTUG
111053,EL LIMO
091452,SABANILLA
210156,PACAYACU
100151,AMBUQUÍ
020650,CALUMA
080454,VICHE
180166,TOTORAS
111251,NUEVA FÁTIMA
010850,SANTA ISABEL
100553,SAN FRANCISCO DE SIGSIPAMBA
190651,EL GUISME
130453,SANTA MARÍA
011250,EL PAN
141251,SAN JOSÉ DE MORONA
071353,GUANAZÁN
110654,27 DE ABRIL
180852,EMILIO MARÍA TERÁN
130155,RIOCHICO
110156,MALACATOS
050151,ALÁQUEZ
120351,LA ESMERALDA
170160,EL QUINCHE
170159,CHECA
230251,MONTERREY
140257,SAN MIGUEL DE CUYES
030452,PANCHO NEGRO
220451,ÁVILA
060952,MATUS
060953,PUELA
080152,CAMARONES
020550,SAN MIGUEL
230155,VALLE HERMOSO
071056,SARACAY
070654,RÍO BONITO
092050,SAN JACINTO DE YAGUACHI
010169,TURI
180856,SAN JOSÉ DE POALÓ
060255,MULTITUD
160351,SAN JOSÉ
200251,TOMÁS DE BERLANGA
210750,TARAPOA
010171,VICTORIA DEL PORTETE
080562,URBINA
010954,LUDO
130355,ELOY ALFARO
180156,IZAMBA
080260,SELVA ALEGRE
130250,CALCETA
190151,CUMBARATZA
190252,EL CHORRO
190851,EL PORVENIR DEL CARMEN
100157,SAN ANTONIO
060759,VALPARAISO
131054,LASCANO
140153,GENERAL PROAÑO
110552,EL ROSARIO
070951,BUENAVISTA
080755,ROCAFUERTE
140553,PATUCA
220452,PUERTO MURIALDO
060850,PALLATANGA
210250,LUMBAQUÍ
170451,LA ESPERANZA
130357,SAN ANTONIO
120754,LOS ÁNGELES
170179,PUEMBO
060251,ACHUPALLAS
010252,SAN GERARDO
180154,CONSTANTINO FERNÁNDEZ
180750,PELILEO
170751,MINDO
170175,PIFO
110656,EL AIRO
170351,ALOAG
010151,BAÑOS
130454,EL PARAÍSO LA 14
111354,PALETILLAS
010360,SIMÓN BOLÍVAR
040450,MIRA
060954,SAN ANTONIO DE BAYUSHIG
030354,GUALLETURO
131052,CASCOL
080264,TIMBIRÉ
111551,FUNDOCHAMBA
140556,TAYUZA
110951,CANGONAMÁ
210157,JAMBELÍ
060552,COMPUD
080451,CUBE
140854,SANTIAGO DE PANANZA
131352,HONORATO VÁSQUEZ
071054,PIEDRAS
190256,PUCAPAMBA
010953,GÜEL
050451,ANGAMARCA
011152,LA UNIÓN
131752,DIEZ DE AGOSTO
040158,URBINA
010853,SHAGLLI
010553,CHICÁN
080452,CHURA
220352,POMPEYA
190952,NUEVO QUITO
210355,SANSAHUARI
011450,GUACHAPALA
040153,JULIO ANDRADE
190652,PACHICUTZA
050153,GUAYTACAMA
080560,TAMBILLO
080265,SANTA LUCÍA DE LAS PEÑAS
160166,EL TRIUNFO
050555,PANSALEO
100551,CHUGÁ
020160,SAN LUIS DE PAMBIL
091951,GENERAL VERNAZA
091350,PALESTINA
180350,CEVALLOS
210353,PUERTO RODRÍGUEZ
100251,IMBAYA
110850,MACARÁ
220161,SAN LUIS DE ARMENIA
030352,CHOROCOPTE
140454,SANGAY
060450,CHAMBO
010251,LA ASUNCIÓN
210550,LA BONITA
140852,SAN CARLOS DE LIMÓN
210751,CUYABENO
130351,BOYACÁ
140253,BOMBOÍZA
060550,CHUNCHI
070652,LA IBERIA
040451,CONCEPCIÓN
220156,GARCÍA MORENO
070354,SAN JOSÉ
111151,EL PARAÍSO DE CELEN
030252,SAN FRANCISCO DE SAGEO
040156,TOBAR DONOSO
160250,MERA
180854,PRESIDENTE URBINA
220354,SAN SEBASTIÁN DEL COCA
010153,CHAUCHA
010955,SAN BARTOLOMÉ
080356,SAN FRANCISCO
220159,NUEVO PARAÍSO
170174,PERUCHO
080453,MALIMPIA
110958,CASANGA
110956,ORIANGA
120250,BABA
040351,EL GOALTAL
020553,RÉGULO DE MORA
030250,BIBLIÁN
050453,GUANGAJE
070254,PALMALES
060257,PUMALLACTA
071055,SAN ROQUE
080651,LA UNIÓN
010451,COCHAPATA
130352,CANUTO
170164,LA MERCED
140750,HUAMBOYA
010956,SAN JOSÉ DE RARANGA
071253,LA AVANZADA
030357,JUNCAL
100552,MARIANO ACOSTA
190553,LOS ENCUENTROS
080353,GALERA
080351,BOLÍVAR
140554,SAN LUIS DE EL ACHO
170161,GUALEA
190853,VALLADOLID
010359,LUIS CORDERO VEGA
070651,BARBONES
050751,CHUGCHILLÁN
080653,TONCHIGÜE
100152,ANGOCHAGUA
140254,CHIGÜINDA
080750,RIOVERDE
110954,LAURO GUERRERO
100452,EUGENIO ESPEJO
170452,MALCHINGUÍ
110254,SANGUILLÍN
210352,PUERTO BOLÍVAR
092350,CORONEL MARCELINO MARIDUEÑA
160164,TENIENTE HUGO ORTIZ
132251,CANOA
140452,CUMANDÁ
140157,SEVILLA DON BOSCO
100153,CAROLINA
180160,PICAIHUA
060553,GONZOL
030254,JERUSALÉN
111355,BOLASPAMBA
050457,TINGO
040350,EL ÁNGEL
210653,NUEVA TRONCAL
220157,INÉS ARANGO
071251,BELLAVISTA
010751,CHUMBLÍN
180754,CHIQUICHA
160251,MADRE TIERRA
170252,CANGAHUA
170185,YARUQUÍ
011050,SAN FELIPE DE OÑA
020555,SANTIAGO
100454,PATAQUÍ
180756,GARCÍA MORENO
071355,HUERTAS
070653,TENDALES
130157,CHIRIJOS
060955,LA CANDELARIA
190158,SAN CARLOS DE LAS MINAS
130652,EL ANEGADO
050455,LA VICTORIA
130550,FLAVIO ALFARO
080754,MONTALVO
060259,SIBAMBE
071356,MALVAS
090652,JUAN BAUTISTA AGUIRRE
011352,PALMAS
050753,LAS PAMPAS
092055,YAGUACHI VIEJO
080253,BORBÓN
020551,BALSAPAMBA
190753,PANGUINTZA
011153,LUIS GALARZA ORELLANA
030355,HONORATO VÁSQUEZ
100154,LA ESPERANZA
111150,SARAGURO
020251,SAN JOSÉ DEL TAMBO
190153,IMBANA
111453,MILAGROS
100352,GARCÍA MORENO
140156,SAN ISIDRO
060155,LICÁN
110554,AMARILLOS
060253,GUASUNTOS
141051,YAUPI
200151,EL PROGRESO
170354,EL CHAUPI
180158,MONTALVO
210554,SANTA BÁRBARA
092053,GENERAL PEDRO J. MONTERO
170181,SAN JOSÉ DE MINAS
111050,ALAMOR
220358,UNIÓN MILAGREÑA
060956,BILBAO
170357,UYUMBICHO
110550,CHAGUARPAMBA
010453,LAS NIEVES
111155,SAN ANTONIO DE QUMBE
110154,GUALEL
040651,MARISCAL SUCRE
020552,BILOVÁN
070851,EL INGENIO
070251,CHACRAS
050750,SIGCHOS
180752,BOLÍVAR
180751,BENÍTEZ
150453,OYACACHI
120553,SAN CARLOS
011154,SAN MARTÍN DE PUZHIO
071257,BELLAMARÍA
091651,TARIFA
030356,INGAPIRCA
150751,COSANGA
060554,LLAGOS
130952,LA PILA
091151,JESÚS MARÍA
111350,ZAPOTILLO
150156,PUERTO NAPO
060254,HUIGRA
100155,LITA
180651,RUMIPAMBA
130353,CONVENTO
220158,LA BELLEZA
020153,JULIO E. MORENO
100455,SAN JOSÉ DE QUICHINCHE
050351,MORASPUNGO
070956,CAÑAQUEMADA
100652,LA MERCED DE BUENOS AIRES
070256,LA CUCA
110551,BUENAVISTA
020750,LAS NAVES
210552,LA SOFÍA
060754,SAN ANDRÉS
080251,ANCHAYACU
010155,CHIQUINTAD
180162,QUISAPINCHA
110852,LA VICTORIA
011350,SEVILLA DE ORO
091953,JUNQUILLAL
170183,TABABELA
110456,SABANILLA
220356,RUMIPAMBA
110451,CRUZPAMBA
010353,JADÁN
071357,MULUNCAY GRANDE
010950,SÍGSIG
170355,MANUEL CORNEJO ASTORGA
131652,NOBOA
040353,SAN ISIDRO
111157,SAN SEBASTIÁN DE YÚLUC
050652,CHANTILÍN
110751,CHANGAIMINA
080355,SÁLIMA
190351,ZURMI
020157,SAN SIMÓN
040551,CRISTÓBAL COLÓN
180159,PASA
070451,BELLAMARÍA
080255,LUIS VARGAS TORRES
130657,PEDRO PABLO GÓMEZ
050158,POALÓ
050157,ONCE DE NOVIEMBRE
110160,TAQUIL
120555,LA ESPERANZA
210152,DURENO
100459,SELVA ALEGRE
110152,CHUQUIRIBAMBA
150753,PAPALLACTA
060159,QUIMIAG
180951,QUINCHICOTO
180251,LLIGUA
080553,CALDERÓN
130252,QUIROGA
030156,PINDILIG
160450,ARAJUNO
220160,SAN JOSÉ DE GUAYUSA
050252,PUCAYACU
140358,YUNGANZA
060752,ILAPO
110851,LARAMA
060354,SANTIAGO DE QUITO
040151,EL CARMELO
071153,SALATÍ
170254,OTÓN
180167,CUNCHIBAMBA
010156,LLACAO
030550,EL TAMBO
190950,PAQUISHA
180758,SALASACA
110753,NAMBACOLA
140651,ASUNCIÓN
040553,FERNÁNDEZ SALVADOR
060260,TIXÁN
150455,SARDINAS
140951,HUASAGA
030154,JAVIER LOYOLA
110351,EL TAMBO
020350,SAN JOSÉ DE CHIMBO
080153,CORONEL CARLOS CONCHA TORRES
131551,BACHILLERO
150155,PUERTO MISAHUALLÍ
030362,VENTURA
110651,BELLAVISTA
190353,NANKAIS
060352,COLUMBE
111452,12 DE DICIEMBRE
010561,TOMEBAMBA
080257,PAMPANAL DE BOLÍVAR
080555,5 DE JUNIO
100354,PEÑAHERRERA
170552,RUMIPAMBA
210452,PAÑACOCHA
050352,PINLLOPATA
100356,QUIROGA
160157,POMONA
111650,OLMEDO
131151,BARRAGANETE
100654,SAN BLAS
110158,SAN PEDRO DE VILCABAMBA
010250,GIRÓN
130852,SANTA MARIANITA
010852,EL CARMEN DE PIJILÍ
130552,ZAPALLO
130154,PUEBLO NUEVO
091451,VALLE DE LA VIRGEN
071352,ARCAPAMBA
030158,SAN MIGUEL
140356,SAN MIGUEL DE CONCHAY
131653,ARQUITECTO SIXTO DURÁN BALLÉN
110353,SAN PEDRO DE LA BENDITA
160155,FÁTIMA
180551,EL TRIUNFO
080261,TELEMBÍ
030451,MANUEL J. CALLE
040555,PIARTAL
130152,ALHAJUELA
010166,SIDCAY
140551,COPAL
220153,ALEJANDRO LABAKA
210454,SAN PEDRO DE LOS COFÁNES
140256,NUEVA TARQUI
160159,RÍO TIGRE
080557,MATAJE
180553,SUCRE
170154,CALACALÍ
170454,TUPIGACHI
200352,SANTA ROSA
220251,CAPITÁN AUGUSTO RIVADENEYRA
060756,SAN ISIDRO DE PATULÚ
111055,VICENTINO
050554,MULLIQUINDIL
020354,SAN SEBASTIÁN
170178,PUÉLLARO
131751,COJIMÍES
210160,10 DE AGOSTO
010952,JIMA
110251,COLAISACA
220151,DAYUMA
131051,CAMPOZANO
080752,CHUMUNDÉ
170176,PÍNTAG
180151,AMBATILLO
030160,TADAY
060951,EL ALTAR
140258,EL IDEAL
030351,CHONTAMARCA
010357,SAN JUAN
111250,SOZORANGA
230253,PLAN PILOTO
080559,SANTA RITA
030651,SOLANO
010168,TARQUI
030353,GENERAL MORALES
200250,PUERTO VILLAMIL
040155,PIOTER
060758,SANTA FÉ DE GALÁN
040157,TUFIÑO
010552,BULÁN
130452,SAN PEDRO DE SUMA
070353,MILAGRO
180853,MARCOS ESPINEL
160161,SARAYACU
050552,CUSUBAMBA
050154,JOSEGUANGO BAJO
131351,AYACUCHO
040453,JUAN MONTALVO
080352,DAULE
140451,ARAPICOS
110162,YANGANA
190852,SAN FRANCISCO DEL VERGEL
180851,BAQUERIZO MORENO
220351,ENOKANQUI
010854,SAN SALVADOR DE CAÑARIBAMBA
060551,CAPZOL
110655,EL INGENIO
100254,SAN ROQUE
141150,PABLO SEXTO
160165,VERACRUZ
050152,BELISARIO QUEVEDO
110653,SANTA TERESITA
140851,PAN DE AZÚCAR
140853,SAN JACINTO DE WAKAMBEIS
080350,MUISNE
210354,SANTA ELENA
190850,PALANDA
070355,SAN JUAN DE CERRO AZUL
080561,TULULBÍ
010152,CUMBE
110253,UTUANA
130156,SAN PLÁCIDO
071354,GUIZHAGUIÑA
030251,NAZÓN
220453,SAN JOSÉ DE PAYAMINO
140151,ALSHI
011151,PRINCIPAL
080263,SAN JOSÉ DE CAYAPAS
080652,SÚA
111550,QUILANGA
180153,AUGUSTO N. MARTÍNEZ
071359,SALVIAS
060258,SEVILLA
170158,CHAVEZPAMBA
111552,SAN ANTONIO DE LAS ARADAS
180753,COTALÓ
180451,PINGUILÍ
111252,TACAMOROS
210651,SANTA ROSA DE SUCUMBÍOS
220455,SAN VICENTE DE HUATICOCHA
141050,LOGROÑO
010452,EL PROGRESO
010154,CHECA
131753,ATAHUALPA
040650,HUACA
040352,LA LIBERTAD
170162,GUANGOPOLO
